id,year,category,full_name,laureate_type,prize_share,prize,motivation,laureate_id,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country
91,1974,Chemistry,Paul J. Flory,Individual,1/1,The Nobel Prize in Chemistry 1974,"""for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules""",246.0,1910-06-19,"Sterling, IL",United States of America,Male,Stanford University,"Stanford, CA",United States of America,1985-09-08,"Big Sur, CA",United States of America
92,1975,Chemistry,John Warcup Cornforth,Individual,1/2,The Nobel Prize in Chemistry 1975,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",247.0,1917-09-07,Sydney,Australia,Male,University of Sussex,Brighton,United Kingdom,2013-12-08,N/A,N/A
93,1975,Chemistry,Vladimir Prelog,Individual,1/2,The Nobel Prize in Chemistry 1975,"""for his research into the stereochemistry of organic molecules and reactions""",248.0,1906-07-23,Sarajevo,Austria-Hungary (Bosnia and Herzegovina),Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1998-01-07,Zurich,Switzerland
94,1976,Chemistry,William N. Lipscomb,Individual,1/1,The Nobel Prize in Chemistry 1976,"""for his studies on the structure of boranes illuminating problems of chemical bonding""",249.0,1919-12-09,"Cleveland, OH",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,2011-04-14,"Cambridge, MA",United States of America
95,1977,Chemistry,Ilya Prigogine,Individual,1/1,The Nobel Prize in Chemistry 1977,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",250.0,1917-01-25,Moscow,Russia,Male,Université Libre de Bruxelles,Brussels,Belgium,2003-05-28,Brussels,Belgium
96,1977,Chemistry,Ilya Prigogine,Individual,1/1,The Nobel Prize in Chemistry 1977,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",250.0,1917-01-25,Moscow,Russia,Male,University of Texas,"Austin, TX",United States of America,2003-05-28,Brussels,Belgium
97,1978,Chemistry,Peter D. Mitchell,Individual,1/1,The Nobel Prize in Chemistry 1978,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",251.0,1920-09-29,Mitcham,United Kingdom,Male,Glynn Research Laboratories,Bodmin,United Kingdom,1992-04-10,Bodmin,United Kingdom
98,1979,Chemistry,Herbert C. Brown,Individual,1/2,The Nobel Prize in Chemistry 1979,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",252.0,1912-05-22,London,United Kingdom,Male,Purdue University,"West Lafayette, IN",United States of America,2004-12-19,"Lafayette, IN",United States of America
99,1979,Chemistry,Georg Wittig,Individual,1/2,The Nobel Prize in Chemistry 1979,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",253.0,1897-06-16,Berlin,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,1987-08-26,Heidelberg,West Germany (Germany)
100,1980,Chemistry,Frederick Sanger,Individual,1/4,The Nobel Prize in Chemistry 1980,"""for their contributions concerning the determination of base sequences in nucleic acids""",222.0,1918-08-13,Rendcombe,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2013-11-19,Cambridge,United Kingdom
101,1980,Chemistry,Paul Berg,Individual,1/2,The Nobel Prize in Chemistry 1980,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA""",254.0,1926-06-30,"New York, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,N/A,N/A,N/A
102,1980,Chemistry,Walter Gilbert,Individual,1/4,The Nobel Prize in Chemistry 1980,"""for their contributions concerning the determination of base sequences in nucleic acids""",255.0,1932-03-21,"Boston, MA",United States of America,Male,"Harvard University, Biological Laboratories","Cambridge, MA",United States of America,N/A,N/A,N/A
103,1981,Chemistry,Kenichi Fukui,Individual,1/2,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions""",257.0,1918-10-04,Nara,Japan,Male,Kyoto University,Kyoto,Japan,1998-01-09,Kyoto,Japan
104,1981,Chemistry,Roald Hoffmann,Individual,1/2,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions""",258.0,1937-07-18,Zloczov,Poland (Ukraine),Male,Cornell University,"Ithaca, NY",United States of America,N/A,N/A,N/A
105,1982,Chemistry,Aaron Klug,Individual,1/1,The Nobel Prize in Chemistry 1982,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",259.0,1926-08-11,Zelvas,Lithuania,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,N/A,N/A,N/A
106,1983,Chemistry,Henry Taube,Individual,1/1,The Nobel Prize in Chemistry 1983,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",260.0,1915-11-30,Neudorf,Canada,Male,Stanford University,"Stanford, CA",United States of America,2005-11-16,"Stanford, CA",United States of America
107,1984,Chemistry,Robert Bruce Merrifield,Individual,1/1,The Nobel Prize in Chemistry 1984,"""for his development of methodology for chemical synthesis on a solid matrix""",261.0,1921-07-15,"Fort Worth, TX",United States of America,Male,Rockefeller University,"New York, NY",United States of America,2006-05-14,"Cresskill, NJ",United States of America
108,1985,Chemistry,Herbert A. Hauptman,Individual,1/2,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",262.0,1917-02-14,"New York, NY",United States of America,Male,The Medical Foundation of Buffalo,"Buffalo, NY",United States of America,2011-10-23,"Buffalo, NY",United States of America
109,1985,Chemistry,Jerome Karle,Individual,1/2,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",263.0,1918-06-18,"New York, NY",United States of America,Male,US Naval Research Laboratory,"Washington, DC",United States of America,2013-06-06,N/A,N/A
110,1986,Chemistry,Dudley R. Herschbach,Individual,1/3,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",264.0,1932-06-18,"San José, CA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,N/A,N/A,N/A
111,1986,Chemistry,Yuan T. Lee,Individual,1/3,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",265.0,1936-11-19,Hsinchu,Taiwan,Male,University of California,"Berkeley, CA",United States of America,N/A,N/A,N/A
112,1986,Chemistry,John C. Polanyi,Individual,1/3,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",266.0,1929-01-23,Berlin,Germany,Male,University of Toronto,Toronto,Canada,N/A,N/A,N/A
113,1987,Chemistry,Donald J. Cram,Individual,1/3,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",267.0,1919-04-22,"Chester, VT",United States of America,Male,University of California,"Los Angeles, CA",United States of America,2001-06-17,"Palm Desert, CA",United States of America
114,1987,Chemistry,Jean-Marie Lehn,Individual,1/3,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",268.0,1939-09-30,Rosheim,France,Male,Université Louis Pasteur,Strasbourg,France,N/A,N/A,N/A
115,1987,Chemistry,Jean-Marie Lehn,Individual,1/3,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",268.0,1939-09-30,Rosheim,France,Male,Collège de France,Paris,France,N/A,N/A,N/A
116,1987,Chemistry,Charles J. Pedersen,Individual,1/3,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",269.0,1904-10-03,Pusan,Korea (South Korea),Male,Du Pont,"Wilmington, DE",United States of America,1989-10-26,"Salem, NJ",United States of America
117,1988,Chemistry,Johann Deisenhofer,Individual,1/3,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",270.0,1943-09-30,Zusamaltheim,Germany,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,N/A,N/A,N/A
118,1988,Chemistry,Johann Deisenhofer,Individual,1/3,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",270.0,1943-09-30,Zusamaltheim,Germany,Male,Howard Hughes Medical Institute,N/A,N/A,N/A,N/A,N/A
119,1988,Chemistry,Robert Huber,Individual,1/3,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",271.0,1937-02-20,Munich,Germany,Male,Max-Planck-Institut für Biochemie,Martinsried,Federal Republic of Germany,N/A,N/A,N/A
120,1988,Chemistry,Hartmut Michel,Individual,1/3,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",272.0,1948-07-18,Ludwigsburg,West Germany (Germany),Male,Max-Planck-Institut für Biophysik,Frankfurt-on-the-Main,Federal Republic of Germany,N/A,N/A,N/A
121,1989,Chemistry,Sidney Altman,Individual,1/2,The Nobel Prize in Chemistry 1989,"""for their discovery of catalytic properties of RNA""",273.0,1939-05-07,Montreal,Canada,Male,Yale University,"New Haven, CT",United States of America,N/A,N/A,N/A
122,1989,Chemistry,Thomas R. Cech,Individual,1/2,The Nobel Prize in Chemistry 1989,"""for their discovery of catalytic properties of RNA""",274.0,1947-12-08,"Chicago, IL",United States of America,Male,University of Colorado,"Boulder, CO",United States of America,N/A,N/A,N/A
123,1990,Chemistry,Elias James Corey,Individual,1/1,The Nobel Prize in Chemistry 1990,"""for his development of the theory and methodology of organic synthesis""",275.0,1928-07-12,"Methuen, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,N/A,N/A,N/A
124,1991,Chemistry,Richard R. Ernst,Individual,1/1,The Nobel Prize in Chemistry 1991,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",276.0,1933-08-14,Winterthur,Switzerland,Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,N/A,N/A,N/A
125,1992,Chemistry,Rudolph A. Marcus,Individual,1/1,The Nobel Prize in Chemistry 1992,"""for his contributions to the theory of electron transfer reactions in chemical systems""",277.0,1923-07-21,Montreal,Canada,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,N/A,N/A,N/A
126,1993,Chemistry,Kary B. Mullis,Individual,1/2,The Nobel Prize in Chemistry 1993,"""for contributions to the developments of methods within DNA-based chemistry; for his invention of the polymerase chain reaction (PCR) method""",278.0,1944-12-28,"Lenoir, NC",United States of America,Male,N/A,"La Jolla, CA",United States of America,N/A,N/A,N/A
127,1993,Chemistry,Michael Smith,Individual,1/2,The Nobel Prize in Chemistry 1993,"""for contributions to the developments of methods within DNA-based chemistry; for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies""",279.0,1932-04-26,Blackpool,United Kingdom,Male,University of British Columbia,Vancouver,Canada,2000-10-04,Vancouver,Canada
128,1994,Chemistry,George A. Olah,Individual,1/1,The Nobel Prize in Chemistry 1994,"""for his contribution to carbocation chemistry""",280.0,1927-05-22,Budapest,Hungary,Male,University of Southern California,"Los Angeles, CA",United States of America,N/A,N/A,N/A
129,1995,Chemistry,Paul J. Crutzen,Individual,1/3,The Nobel Prize in Chemistry 1995,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",281.0,1933-12-03,Amsterdam,Netherlands,Male,Max-Planck-Institut für Chemie,Mainz,Federal Republic of Germany,N/A,N/A,N/A
130,1995,Chemistry,Mario J. Molina,Individual,1/3,The Nobel Prize in Chemistry 1995,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",282.0,1943-03-19,Mexico City,Mexico,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,N/A,N/A,N/A
131,1995,Chemistry,F. Sherwood Rowland,Individual,1/3,The Nobel Prize in Chemistry 1995,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",283.0,1927-06-28,"Delaware, OH",United States of America,Male,University of California,"Irvine, CA",United States of America,2012-03-10,"Corona del Mar, CA",United States of America
132,1996,Chemistry,Robert F. Curl Jr.,Individual,1/3,The Nobel Prize in Chemistry 1996,"""for their discovery of fullerenes""",284.0,1933-08-23,"Alice, TX",United States of America,Male,Rice University,"Houston, TX",United States of America,N/A,N/A,N/A
133,1996,Chemistry,Sir Harold W. Kroto,Individual,1/3,The Nobel Prize in Chemistry 1996,"""for their discovery of fullerenes""",285.0,1939-10-07,Wisbech,United Kingdom,Male,University of Sussex,Brighton,United Kingdom,2016-04-30,"Lewes, East Sussex",United Kingdom
134,1996,Chemistry,Richard E. Smalley,Individual,1/3,The Nobel Prize in Chemistry 1996,"""for their discovery of fullerenes""",286.0,1943-06-06,"Akron, OH",United States of America,Male,Rice University,"Houston, TX",United States of America,2005-10-28,"Houston, TX",United States of America
135,1997,Chemistry,Paul D. Boyer,Individual,1/4,The Nobel Prize in Chemistry 1997,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",287.0,1918-07-31,"Provo, UT",United States of America,Male,University of California,"Los Angeles, CA",United States of America,N/A,N/A,N/A
