Year,Category,Full Name,Motivation,Laureate Type,Prize Share,Prize,Laureate ID,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country
1917,Literature,Karl Adolph Gjellerup,"""for his varied and rich poetry, which is inspired by lofty ideals""",Individual,1/2,The Nobel Prize in Literature 1917,586.0,1857-06-02,Roholte,Denmark,Male,,,,1919-10-11,Klotzsche,Germany
1917,Literature,Henrik Pontoppidan,"""for his authentic descriptions of present-day life in Denmark""",Individual,1/2,The Nobel Prize in Literature 1917,587.0,1857-07-24,Fredericia,Denmark,Male,,,,1943-08-21,Ordrup,Denmark
1919,Literature,Carl Friedrich Georg Spitteler,"""in special appreciation of his epic, <I>Olympian Spring</I>""",Individual,1/1,The Nobel Prize in Literature 1919,588.0,1845-04-24,Liestal,Switzerland,Male,,,,1924-12-29,Lucerne,Switzerland
1920,Literature,Knut Pedersen Hamsun,"""for his monumental work, <I>Growth of the Soil</I>""",Individual,1/1,The Nobel Prize in Literature 1920,589.0,1859-08-04,Lom,Norway,Male,,,,1952-02-19,Grimstad,Norway
1921,Literature,Anatole France,"""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament""",Individual,1/1,The Nobel Prize in Literature 1921,590.0,1844-04-16,Paris,France,Male,,,,1924-10-12,Saint-Cyr-sur-Loire,France
1922,Literature,Jacinto Benavente,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",Individual,1/1,The Nobel Prize in Literature 1922,592.0,1866-08-12,Madrid,Spain,Male,,,,1954-07-14,Madrid,Spain
1923,Literature,William Butler Yeats,"""for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation""",Individual,1/1,The Nobel Prize in Literature 1923,593.0,1865-06-13,Dublin,Ireland,Male,,,,1939-01-28,Roquebrune-Cap-Martin,France
1924,Literature,Wladyslaw Stanislaw Reymont,"""for his great national epic, <I>The Peasants</I>""",Individual,1/1,The Nobel Prize in Literature 1924,594.0,1867-05-07,Kobiele Wielkie,Russian Empire (Poland),Male,,,,1925-12-05,Warsaw,Poland
1925,Literature,George Bernard Shaw,"""for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty""",Individual,1/1,The Nobel Prize in Literature 1925,596.0,1856-07-26,Dublin,Ireland,Male,,,,1950-11-02,Ayot St. Lawrence,United Kingdom
1926,Literature,Grazia Deledda,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",Individual,1/1,The Nobel Prize in Literature 1926,597.0,1871-09-27,"Nuoro, Sardinia",Italy,Female,,,,1936-08-15,Rome,Italy
1927,Literature,Henri Bergson,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""",Individual,1/1,The Nobel Prize in Literature 1927,600.0,1859-10-18,Paris,France,Male,,,,1941-01-04,Paris,France
1928,Literature,Sigrid Undset,"""principally for her powerful descriptions of Northern life during the Middle Ages""",Individual,1/1,The Nobel Prize in Literature 1928,601.0,1882-05-20,Kalundborg,Denmark,Female,,,,1949-06-10,Lillehammer,Norway
1929,Literature,Thomas Mann,"""principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature""",Individual,1/1,The Nobel Prize in Literature 1929,602.0,1875-06-06,Lübeck,Germany,Male,,,,1955-08-12,Zurich,Switzerland
1930,Literature,Sinclair Lewis,"""for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters""",Individual,1/1,The Nobel Prize in Literature 1930,603.0,1885-02-07,"Sauk Centre, MN",United States of America,Male,,,,1951-01-10,Rome,Italy
1931,Literature,Erik Axel Karlfeldt,"""The poetry of Erik Axel Karlfeldt""",Individual,1/1,The Nobel Prize in Literature 1931,604.0,1864-07-20,Karlbo,Sweden,Male,,,,1931-04-08,Stockholm,Sweden
1932,Literature,John Galsworthy,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>""",Individual,1/1,The Nobel Prize in Literature 1932,605.0,1867-08-14,Kingston Hill,United Kingdom,Male,,,,1933-01-31,London,United Kingdom
1933,Literature,Ivan Alekseyevich Bunin,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing""",Individual,1/1,The Nobel Prize in Literature 1933,606.0,1870-10-22,Voronezh,Russia,Male,,,,1953-11-08,Paris,France
1934,Literature,Luigi Pirandello,"""for his bold and ingenious revival of dramatic and scenic art""",Individual,1/1,The Nobel Prize in Literature 1934,607.0,1867-06-28,"Agrigento, Sicily",Italy,Male,,,,1936-12-10,Rome,Italy
1936,Literature,Eugene Gladstone O'Neill,"""for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy""",Individual,1/1,The Nobel Prize in Literature 1936,608.0,1888-10-16,"New York, NY",United States of America,Male,,,,1953-11-27,"Boston, MA",United States of America
1937,Literature,Roger Martin du Gard,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>""",Individual,1/1,The Nobel Prize in Literature 1937,609.0,1881-03-23,Neuilly-sur-Seine,France,Male,,,,1958-08-22,Bellême,France
1938,Literature,Pearl Buck,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",Individual,1/1,The Nobel Prize in Literature 1938,610.0,1892-06-26,"Hillsboro, WV",United States of America,Female,,,,1973-03-06,"Danby, VT",United States of America
1939,Literature,Frans Eemil Sillanpää,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""",Individual,1/1,The Nobel Prize in Literature 1939,613.0,1888-09-16,Hämeenkyrö,Russian Empire (Finland),Male,,,,1964-06-03,Helsinki,Finland
1944,Literature,Johannes Vilhelm Jensen,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style""",Individual,1/1,The Nobel Prize in Literature 1944,614.0,1873-01-20,Farsø,Denmark,Male,,,,1950-11-25,Copenhagen,Denmark
1945,Literature,Gabriela Mistral,"""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""",Individual,1/1,The Nobel Prize in Literature 1945,615.0,1889-04-07,Vicuña,Chile,Female,,,,1957-01-10,"Hempstead, NY",United States of America
1946,Literature,Hermann Hesse,"""for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style""",Individual,1/1,The Nobel Prize in Literature 1946,617.0,1877-07-02,Calw,Germany,Male,,,,1962-08-09,Montagnola,Switzerland
1947,Literature,André Paul Guillaume Gide,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""",Individual,1/1,The Nobel Prize in Literature 1947,618.0,1869-11-22,Paris,France,Male,,,,1951-02-19,Paris,France
1948,Literature,Thomas Stearns Eliot,"""for his outstanding, pioneer contribution to present-day poetry""",Individual,1/1,The Nobel Prize in Literature 1948,619.0,1888-09-26,"St. Louis, MO",United States of America,Male,,,,1965-01-04,London,United Kingdom
1949,Literature,William Faulkner,"""for his powerful and artistically unique contribution to the modern American novel""",Individual,1/1,The Nobel Prize in Literature 1949,620.0,1897-09-25,"New Albany, MS",United States of America,Male,,,,1962-07-06,"Byhalia, MS",United States of America
1950,Literature,Earl (Bertrand Arthur William) Russell,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",Individual,1/1,The Nobel Prize in Literature 1950,621.0,1872-05-18,Trelleck,United Kingdom,Male,,,,1970-02-02,Penrhyndeudraeth,United Kingdom
1951,Literature,Pär Fabian Lagerkvist,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",Individual,1/1,The Nobel Prize in Literature 1951,622.0,1891-05-23,Växjö,Sweden,Male,,,,1974-07-11,Stockholm,Sweden
1952,Literature,François Mauriac,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",Individual,1/1,The Nobel Prize in Literature 1952,623.0,1885-10-11,Bordeaux,France,Male,,,,1970-09-01,Paris,France
1953,Literature,Sir Winston Leonard Spencer Churchill,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",Individual,1/1,The Nobel Prize in Literature 1953,624.0,1874-11-30,Woodstock,United Kingdom,Male,,,,1965-01-24,London,United Kingdom
1954,Literature,Ernest Miller Hemingway,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",Individual,1/1,The Nobel Prize in Literature 1954,625.0,1899-07-21,"Oak Park, IL",United States of America,Male,,,,1961-07-02,"Ketchum, ID",United States of America
1955,Literature,Halldór Kiljan Laxness,"""for his vivid epic power which has renewed the great narrative art of Iceland""",Individual,1/1,The Nobel Prize in Literature 1955,626.0,1902-04-23,Reykjavik,Iceland,Male,,,,1998-02-08,Reykjavik,Iceland
1956,Literature,Juan Ramón Jiménez,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",Individual,1/1,The Nobel Prize in Literature 1956,627.0,1881-12-24,Moguer,Spain,Male,,,,1958-05-29,San Juan,Puerto Rico
1957,Literature,Albert Camus,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",Individual,1/1,The Nobel Prize in Literature 1957,628.0,1913-11-07,Mondovi,French Algeria (Algeria),Male,,,,1960-01-04,Sens,France
1958,Literature,Boris Leonidovich Pasternak,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",Individual,1/1,The Nobel Prize in Literature 1958,629.0,1890-02-10,Moscow,Russia,Male,,,,1960-05-30,Peredelkino,Russia
1959,Literature,Salvatore Quasimodo,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",Individual,1/1,The Nobel Prize in Literature 1959,630.0,1901-08-20,Modica,Italy,Male,,,,1968-06-14,Naples,Italy
1960,Literature,Saint-John Perse,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",Individual,1/1,The Nobel Prize in Literature 1960,631.0,1887-05-31,Pointe-à-Pitre,Guadeloupe Island,Male,,,,1975-09-20,Presqu'île-de-Giens,France
1961,Literature,Ivo Andric,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",Individual,1/1,The Nobel Prize in Literature 1961,633.0,1892-10-10,Dolac,Bosnia (Bosnia and Herzegovina),Male,,,,1975-03-13,Belgrade,Yugoslavia (Serbia)
1962,Literature,John Steinbeck,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""",Individual,1/1,The Nobel Prize in Literature 1962,634.0,1902-02-27,"Salinas, CA",United States of America,Male,,,,1968-12-20,"New York, NY",United States of America
1963,Literature,Giorgos Seferis,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""",Individual,1/1,The Nobel Prize in Literature 1963,635.0,1900-03-13,Smyrna (Izmir),Ottoman Empire (Turkey),Male,,,,1971-09-20,Athens,Greece
1964,Literature,Jean-Paul Sartre,"""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""",Individual,1/1,The Nobel Prize in Literature 1964,637.0,1905-06-21,Paris,France,Male,,,,1980-04-15,Paris,France
